term,term_size,overlap_size,gene_count,query_size,background_size,pvalue,overlap_genes,qvalue,score,rich_factor,gene_ratio,neg_log10_qvalue
 GO:0042737,4,1,1,3,706,0.016924907260782135,maiA,0.13844328250256163,0.8587281120949788,0.25,0.3333333333333333,0.8587281120949788
 aromatic amino acid metabolic process (GO:0009072),4,1,1,3,706,0.016924907260782135,maiA,0.13844328250256163,0.8587281120949788,0.25,0.3333333333333333,0.8587281120949788
 obsolete aromatic compound catabolic process (GO:0019439),5,1,1,3,706,0.02112608287077879,maiA,0.13844328250256163,0.8587281120949788,0.2,0.3333333333333333,0.8587281120949788
 obsolete organic cyclic compound catabolic process (GO:1901361),6,1,1,3,706,0.025315272245083585,maiA,0.13844328250256163,0.8587281120949788,0.16666666666666666,0.3333333333333333,0.8587281120949788
 alpha-amino acid catabolic process (GO:1901606),7,1,1,3,706,0.029492492506890382,maiA,0.13844328250256163,0.8587281120949788,0.14285714285714285,0.3333333333333333,0.8587281120949788
 amino acid catabolic process (GO:0009063),7,1,1,3,706,0.029492492506890382,maiA,0.13844328250256163,0.8587281120949788,0.14285714285714285,0.3333333333333333,0.8587281120949788
 isomerase activity (GO:0016853),7,1,1,3,706,0.029492492506890382,maiA,0.13844328250256163,0.8587281120949788,0.14285714285714285,0.3333333333333333,0.8587281120949788
 carboxylic acid catabolic process (GO:0046395),9,1,1,3,706,0.03781109418578528,maiA,0.13844328250256163,0.8587281120949788,0.1111111111111111,0.3333333333333333,0.8587281120949788
 obsolete organic acid catabolic process (GO:0016054),9,1,1,3,706,0.03781109418578528,maiA,0.13844328250256163,0.8587281120949788,0.1111111111111111,0.3333333333333333,0.8587281120949788
 obsolete organonitrogen compound catabolic process (GO:1901565),10,1,1,3,706,0.041952509849261105,maiA,0.13844328250256163,0.8587281120949788,0.1,0.3333333333333333,0.8587281120949788
 small molecule catabolic process (GO:0044282),12,1,1,3,706,0.05019965644023869,maiA,0.15059896932071606,0.8221780003787269,0.08333333333333333,0.3333333333333333,0.8221780003787269
 catabolic process (GO:0009056),17,1,1,3,706,0.07061016104021349,maiA,0.16643823673764607,0.778746893811359,0.058823529411764705,0.3333333333333333,0.778746893811359
 obsolete cellular catabolic process (GO:0044248),17,1,1,3,706,0.07061016104021349,maiA,0.16643823673764607,0.778746893811359,0.058823529411764705,0.3333333333333333,0.778746893811359
 obsolete organic substance catabolic process (GO:1901575),17,1,1,3,706,0.07061016104021349,maiA,0.16643823673764607,0.778746893811359,0.058823529411764705,0.3333333333333333,0.778746893811359
 GO:0017144,19,1,1,3,706,0.0786917777162865,maiA,0.17312191097583032,0.7616479626636491,0.05263157894736842,0.3333333333333333,0.7616479626636491
 alpha-amino acid metabolic process (GO:1901605),22,1,1,3,706,0.09072614670604547,maiA,0.18712267758121875,0.7278735767353062,0.045454545454545456,0.3333333333333333,0.7278735767353062
 amino acid metabolic process (GO:0006520),33,1,1,3,706,0.13395515641010186,maiA,0.26003059773725656,0.5849755456961224,0.030303030303030304,0.3333333333333333,0.5849755456961224
 carboxylic acid metabolic process (GO:0019752),51,1,1,3,706,0.20170069273593025,maiA,0.3388390919775783,0.4700064907534753,0.0196078431372549,0.3333333333333333,0.4700064907534753
 oxoacid metabolic process (GO:0043436),51,1,1,3,706,0.20170069273593025,maiA,0.3388390919775783,0.4700064907534753,0.0196078431372549,0.3333333333333333,0.4700064907534753
 obsolete organic acid metabolic process (GO:0006082),52,1,1,3,706,0.20535702544095655,maiA,0.3388390919775783,0.4700064907534753,0.019230769230769232,0.3333333333333333,0.4700064907534753
 small molecule metabolic process (GO:0044281),73,1,1,3,706,0.2795834680357916,maiA,0.4351082173939249,0.36140271460400253,0.0136986301369863,0.3333333333333333,0.36140271460400253
 obsolete cellular aromatic compound metabolic process (GO:0006725),77,1,1,3,706,0.29317589355674767,maiA,0.4351082173939249,0.36140271460400253,0.012987012987012988,0.3333333333333333,0.36140271460400253
 obsolete organic cyclic compound metabolic process (GO:1901360),80,1,1,3,706,0.3032572424260689,maiA,0.4351082173939249,0.36140271460400253,0.0125,0.3333333333333333,0.36140271460400253
molecular_function (GO:0003674),98,1,1,3,706,0.36173883978717936,maiA,0.49739090470737163,0.3033021605045926,0.01020408163265306,0.3333333333333333,0.3033021605045926
 obsolete organonitrogen compound metabolic process (GO:1901564),107,1,1,3,706,0.38971055295587426,maiA,0.5144179299017541,0.2886839025999952,0.009345794392523364,0.3333333333333333,0.2886839025999952
 catalytic activity (GO:0003824),121,1,1,3,706,0.43157811464046764,maiA,0.5477722224282858,0.2613999946304057,0.008264462809917356,0.3333333333333333,0.2613999946304057
 obsolete nitrogen compound metabolic process (GO:0006807),137,1,1,3,706,0.47702950942734557,maiA,0.5654630414940974,0.24759577517654854,0.0072992700729927005,0.3333333333333333,0.24759577517654854
 primary metabolic process (GO:0044238),138,1,1,3,706,0.4797868230859008,maiA,0.5654630414940974,0.24759577517654854,0.007246376811594203,0.3333333333333333,0.24759577517654854
 obsolete organic substance metabolic process (GO:0071704),154,1,1,3,706,0.5225950816707855,maiA,0.5808093765858288,0.2359663810018099,0.006493506493506494,0.3333333333333333,0.2359663810018099
 obsolete cellular metabolic process (GO:0044237),159,1,1,3,706,0.5354740350737804,maiA,0.5808093765858288,0.2359663810018099,0.006289308176100629,0.3333333333333333,0.2359663810018099
 metabolic process (GO:0008152),163,1,1,3,706,0.5456088083078998,maiA,0.5808093765858288,0.2359663810018099,0.006134969325153374,0.3333333333333333,0.2359663810018099
 cellular process (GO:0009987),175,1,1,3,706,0.5751265575257123,maiA,0.5930992624483907,0.22687261603544487,0.005714285714285714,0.3333333333333333,0.22687261603544487
 biological_process (GO:0008150),190,1,1,3,706,0.6101894647152618,maiA,0.6101894647152618,0.2145352949819197,0.005263157894736842,0.3333333333333333,0.2145352949819197
