gene,module_id
ABBFA_000005,1
ABBFA_000434,2
rpmC,3
ABBFA_000008,4
ABBFA_000353,5
ABBFA_000009,6
ABBFA_000164,7
ABBFA_000178,8
ABBFA_000395,9
ABBFA_000396,9
ABBFA_000463,10
ABBFA_000010,11
ABBFA_000098,12
ABBFA_000261,13
ABBFA_000464,14
ABBFA_000011,15
ABBFA_000690,16
ABBFA_000012,17
ABBFA_000397,18
ABBFA_000015,19
ABBFA_000413,20
hutG,21
hutI,21
ABBFA_000016,22
ABBFA_000017,23
ABBFA_000259,23
ABBFA_000302,24
ABBFA_000307,25
ABBFA_000554,26
ABBFA_000617,27
ABBFA_003532,28
ABBFA_000408,29
ABBFA_000661,30
ABBFA_000752,31
ABBFA_000019,32
ABBFA_000504,33
ABBFA_000022,34
ABBFA_000023,35
ABBFA_000245,36
ABBFA_000642,37
ABBFA_000652,38
ABBFA_000284,39
ABBFA_000301,40
ABBFA_000480,41
ABBFA_000673,42
ABBFA_000694,43
ABBFA_000031,44
ABBFA_000090,45
ABBFA_000369,46
ABBFA_000681,47
ABBFA_000033,48
ABBFA_000034,48
ABBFA_000585,49
ABBFA_000040,50
ABBFA_000041,50
ABBFA_000362,51
ABBFA_000363,52
ABBFA_000044,53
ABBFA_000249,54
ABBFA_000052,55
ABBFA_000091,56
ABBFA_000656,57
ABBFA_000776,58
ABBFA_000057,59
ABBFA_000195,60
ABBFA_000196,60
ABBFA_000590,61
ABBFA_000158,62
ABBFA_000667,62
ABBFA_000064,63
ABBFA_000343,64
ABBFA_000067,65
fahA,65
maiA,65
ABBFA_000070,66
ABBFA_000143,67
ABBFA_000352,68
ABBFA_000187,69
ABBFA_000188,69
ABBFA_000263,70
ABBFA_000388,71
hppD,72
ABBFA_000071,73
ABBFA_000072,74
ABBFA_000570,74
ABBFA_000569,75
ABBFA_000371,76
ABBFA_000573,76
ABBFA_000577,76
ABBFA_000107,77
ABBFA_000268,78
ABBFA_000073,79
ABBFA_000289,80
ABBFA_000075,81
hutC,82
ABBFA_000078,83
hutH,83
hutU,83
ABBFA_000084,84
ABBFA_000108,85
ABBFA_000394,86
ABBFA_000502,87
ABBFA_000174,88
ABBFA_000356,89
ABBFA_000613,90
ABBFA_000720,91
ABBFA_000696,92
parE,93
ABBFA_000459,94
ABBFA_000254,95
ABBFA_000262,96
ABBFA_000175,97
ABBFA_000176,97
ABBFA_000310,97
ABBFA_000112,98
ABBFA_000113,99
bfr,100
ABBFA_000121,101
ABBFA_000649,102
ABBFA_003544,103
ABBFA_000198,104
gabT,104
ABBFA_000122,105
ABBFA_000123,106
ABBFA_000756,107
ABBFA_000125,108
ABBFA_000544,109
ABBFA_000127,110
ABBFA_000129,110
uraH,110
ABBFA_000131,111
allC,112
ABBFA_000128,113
ABBFA_000622,114
ABBFA_000623,114
ABBFA_000132,115
ABBFA_000574,116
ABBFA_000138,117
ABBFA_000288,118
ABBFA_000139,119
ABBFA_000173,120
ABBFA_000142,121
ABBFA_000336,121
ABBFA_000357,122
ABBFA_000153,123
ABBFA_000201,124
ABBFA_000157,125
ABBFA_000274,126
ABBFA_000365,127
ABBFA_000666,128
ABBFA_000713,128
ABBFA_000412,129
