gene,degree
ABBFA_000302,9
ABBFA_000330,9
ABBFA_000618,9
ABBFA_000362,8
ABBFA_000398,8
ABBFA_000412,8
ABBFA_000164,7
ABBFA_000261,7
ABBFA_000413,7
ABBFA_000493,7
ABBFA_000694,7
ABBFA_000713,7
ABBFA_000023,6
ABBFA_000108,6
ABBFA_000178,6
ABBFA_000187,6
ABBFA_000194,6
ABBFA_000320,6
ABBFA_000382,6
ABBFA_000395,6
ABBFA_000397,6
ABBFA_000408,6
ABBFA_000509,6
ABBFA_000579,6
ABBFA_000639,6
ABBFA_000650,6
ABBFA_000656,6
ABBFA_000660,6
ABBFA_000661,6
ABBFA_000667,6
ABBFA_000673,6
acsA,6
phoB,6
ABBFA_000016,5
ABBFA_000017,5
ABBFA_000070,5
ABBFA_000107,5
ABBFA_000255,5
ABBFA_000268,5
ABBFA_000289,5
ABBFA_000310,5
ABBFA_000356,5
ABBFA_000386,5
ABBFA_000494,5
ABBFA_000502,5
ABBFA_000554,5
ABBFA_000573,5
ABBFA_000598,5
ABBFA_000720,5
ABBFA_000752,5
astB,5
hutU,5
parE,5
ABBFA_000009,4
ABBFA_000022,4
ABBFA_000052,4
ABBFA_000067,4
ABBFA_000072,4
ABBFA_000078,4
ABBFA_000091,4
ABBFA_000127,4
ABBFA_000129,4
ABBFA_000157,4
ABBFA_000259,4
ABBFA_000266,4
ABBFA_000284,4
ABBFA_000288,4
ABBFA_000322,4
ABBFA_000323,4
ABBFA_000336,4
ABBFA_000337,4
ABBFA_000352,4
ABBFA_000353,4
ABBFA_000367,4
ABBFA_000369,4
ABBFA_000377,4
ABBFA_000383,4
ABBFA_000389,4
ABBFA_000427,4
ABBFA_000433,4
ABBFA_000463,4
ABBFA_000464,4
ABBFA_000465,4
ABBFA_000471,4
ABBFA_000474,4
ABBFA_000484,4
ABBFA_000506,4
ABBFA_000507,4
ABBFA_000510,4
ABBFA_000577,4
ABBFA_000590,4
ABBFA_000594,4
ABBFA_000615,4
ABBFA_000616,4
ABBFA_000622,4
ABBFA_000623,4
ABBFA_000651,4
ABBFA_000652,4
ABBFA_000658,4
ABBFA_000672,4
ABBFA_000690,4
ABBFA_000718,4
astD,4
hppD,4
rpmC,4
rpmJ,4
rpsP,4
uraH,4
ABBFA_000010,3
ABBFA_000031,3
ABBFA_000040,3
ABBFA_000041,3
ABBFA_000057,3
ABBFA_000071,3
ABBFA_000084,3
ABBFA_000090,3
ABBFA_000098,3
ABBFA_000123,3
ABBFA_000131,3
ABBFA_000160,3
ABBFA_000175,3
ABBFA_000180,3
ABBFA_000184,3
ABBFA_000195,3
ABBFA_000196,3
ABBFA_000201,3
ABBFA_000252,3
ABBFA_000262,3
ABBFA_000263,3
ABBFA_000280,3
ABBFA_000281,3
ABBFA_000297,3
ABBFA_000307,3
ABBFA_000321,3
ABBFA_000342,3
ABBFA_000343,3
ABBFA_000363,3
ABBFA_000365,3
ABBFA_000385,3
ABBFA_000388,3
ABBFA_000400,3
ABBFA_000411,3
ABBFA_000432,3
ABBFA_000434,3
ABBFA_000441,3
ABBFA_000445,3
ABBFA_000468,3
ABBFA_000508,3
ABBFA_000532,3
ABBFA_000570,3
ABBFA_000597,3
ABBFA_000647,3
ABBFA_000649,3
ABBFA_000666,3
ABBFA_000696,3
ABBFA_000716,3
ABBFA_000733,3
ABBFA_000750,3
ABBFA_000755,3
ABBFA_000775,3
ABBFA_000776,3
ABBFA_003538,3
ABBFA_003540,3
astA,3
bfr,3
hutG,3
hutI,3
lolA,3
maiA,3
rplB,3
rplM,3
rpsC,3
rpsE,3
thrH,3
ABBFA_000005,2
ABBFA_000011,2
ABBFA_000015,2
ABBFA_000019,2
ABBFA_000033,2
ABBFA_000073,2
ABBFA_000121,2
ABBFA_000132,2
ABBFA_000138,2
ABBFA_000139,2
ABBFA_000142,2
ABBFA_000158,2
ABBFA_000176,2
ABBFA_000181,2
ABBFA_000188,2
ABBFA_000189,2
ABBFA_000203,2
ABBFA_000205,2
ABBFA_000242,2
ABBFA_000254,2
ABBFA_000256,2
ABBFA_000290,2
ABBFA_000295,2
ABBFA_000296,2
ABBFA_000298,2
ABBFA_000327,2
ABBFA_000338,2
ABBFA_000344,2
ABBFA_000347,2
ABBFA_000357,2
ABBFA_000371,2
ABBFA_000375,2
ABBFA_000376,2
ABBFA_000410,2
ABBFA_000426,2
ABBFA_000446,2
ABBFA_000459,2
ABBFA_000461,2
ABBFA_000466,2
ABBFA_000467,2
ABBFA_000470,2
ABBFA_000476,2
ABBFA_000486,2
ABBFA_000504,2
ABBFA_000527,2
ABBFA_000545,2
ABBFA_000574,2
ABBFA_000575,2
ABBFA_000576,2
ABBFA_000578,2
ABBFA_000585,2
ABBFA_000608,2
ABBFA_000613,2
ABBFA_000614,2
ABBFA_000638,2
ABBFA_000646,2
ABBFA_000648,2
ABBFA_000681,2
ABBFA_000695,2
ABBFA_000698,2
ABBFA_000705,2
ABBFA_000710,2
ABBFA_000731,2
ABBFA_000732,2
ABBFA_000744,2
ABBFA_000748,2
ABBFA_000753,2
ABBFA_003544,2
accD,2
allC,2
astE,2
dapE,2
fahA,2
gabT,2
gltA,2
hutH,2
rplR,2
rplV,2
rplX,2
rpmA,2
rpsJ,2
rpsS,2
ABBFA_000008,1
ABBFA_000012,1
ABBFA_000034,1
ABBFA_000037,1
ABBFA_000064,1
ABBFA_000075,1
ABBFA_000112,1
ABBFA_000113,1
ABBFA_000125,1
ABBFA_000128,1
ABBFA_000143,1
ABBFA_000153,1
ABBFA_000159,1
ABBFA_000166,1
ABBFA_000167,1
ABBFA_000173,1
ABBFA_000174,1
ABBFA_000182,1
ABBFA_000183,1
ABBFA_000197,1
ABBFA_000198,1
ABBFA_000206,1
