gene_id	GO_terms_en	KEGG_pathways_en
dnaA		ko02020; ko04112; Two-component system (map02020); Cell cycle - Caulobacter (map04112)
dnaN		ko00230; ko00240; ko01100; ko03030; ko03430; ko03440; Purine metabolism (map00230); Pyrimidine metabolism (map00240); Metabolic pathways (map01100); DNA replication (map03030); Mismatch repair (map03430); Homologous recombination (map03440)
ABBFA_000003	DNA synthesis involved in DNA repair (GO:0000731); molecular_function (GO:0003674); nucleic acid binding (GO:0003676); DNA binding (GO:0003677); single-stranded DNA binding (GO:0003697); binding (GO:0005488); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); nucleobase-containing compound metabolic process (GO:0006139); DNA metabolic process (GO:0006259); DNA replication (GO:0006260); DNA repair (GO:0006281); double-strand break repair (GO:0006302); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); response to stress (GO:0006950); DNA damage response (GO:0006974); cell communication (GO:0007154); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); response to radiation (GO:0009314); response to UV (GO:0009411); response to light stimulus (GO:0009416); SOS response (GO:0009432); response to external stimulus (GO:0009605); response to abiotic stimulus (GO:0009628); cellular process (GO:0009987); obsolete response to extracellular stimulus (GO:0009991); obsolete heterocycle biosynthetic process (GO:0018130); obsolete aromatic compound biosynthetic process (GO:0019438); obsolete cellular response to extracellular stimulus (GO:0031668); cellular response to stress (GO:0033554); obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); nucleobase-containing compound biosynthetic process (GO:0034654); macromolecule metabolic process (GO:0043170); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); obsolete cellular nitrogen compound biosynthetic process (GO:0044271); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); obsolete heterocycle metabolic process (GO:0046483); response to stimulus (GO:0050896); cellular response to stimulus (GO:0051716); cellular response to external stimulus (GO:0071496); obsolete organic substance metabolic process (GO:0071704); DNA biosynthetic process (GO:0071897); nucleic acid metabolic process (GO:0090304); obsolete organic cyclic compound binding (GO:0097159); obsolete organic cyclic compound metabolic process (GO:1901360); obsolete organic cyclic compound biosynthetic process (GO:1901362); heterocyclic compound binding (GO:1901363); obsolete organic substance biosynthetic process (GO:1901576)	ko03440; Homologous recombination (map03440)
gyrB	"nucleotide binding (GO:0000166); molecular_function (GO:0003674); nucleic acid binding (GO:0003676); DNA binding (GO:0003677); catalytic activity (GO:0003824); DNA topoisomerase activity (GO:0003916); DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918); binding (GO:0005488); ATP binding (GO:0005524); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); nucleobase-containing compound metabolic process (GO:0006139); DNA metabolic process (GO:0006259); DNA topological change (GO:0006265); DNA-templated transcription (GO:0006351); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); organelle organization (GO:0006996); chromosome segregation (GO:0007059); ATP-dependent activity, acting on DNA (GO:0008094); obsolete drug binding (GO:0008144); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); nucleoid (GO:0009295); DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex (GO:0009330); cellular process (GO:0009987); gene expression (GO:0010467); cellular component organization (GO:0016043); RNA metabolic process (GO:0016070); pyrophosphatase activity (GO:0016462); hydrolase activity (GO:0016787); hydrolase activity, acting on acid anhydrides (GO:0016817); hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818); isomerase activity (GO:0016853); ATP hydrolysis activity (GO:0016887); purine nucleotide binding (GO:0017076); ribonucleoside triphosphate phosphatase activity (GO:0017111); obsolete heterocycle biosynthetic process (GO:0018130); obsolete aromatic compound biosynthetic process (GO:0019438); adenyl nucleotide binding (GO:0030554); ribonucleotide binding (GO:0032553); purine ribonucleotide binding (GO:0032555); adenyl ribonucleotide binding (GO:0032559); RNA biosynthetic process (GO:0032774); protein-containing complex (GO:0032991); DNA negative supercoiling activity (GO:0034335); obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); nucleobase-containing compound biosynthetic process (GO:0034654); purine ribonucleoside triphosphate binding (GO:0035639); small molecule binding (GO:0036094); response to chemical (GO:0042221); GO:0042493; GO:0042623; ion binding (GO:0043167); anion binding (GO:0043168); macromolecule metabolic process (GO:0043170); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); obsolete cellular nitrogen compound biosynthetic process (GO:0044271); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); obsolete heterocycle metabolic process (GO:0046483); response to stimulus (GO:0050896); chromosome organization (GO:0051276); GO:0061505; DNA conformation change (GO:0071103); obsolete organic substance metabolic process (GO:0071704); cellular component organization or biogenesis (GO:0071840); nucleic acid metabolic process (GO:0090304); obsolete organic cyclic compound binding (GO:0097159); carbohydrate derivative binding (GO:0097367); obsolete nucleic acid-templated transcription (GO:0097659); catalytic activity, acting on DNA (GO:0140097); nucleoside phosphate binding (GO:1901265); obsolete organic cyclic compound metabolic process (GO:1901360); obsolete organic cyclic compound biosynthetic process (GO:1901362); heterocyclic compound binding (GO:1901363); obsolete organic substance biosynthetic process (GO:1901576)"	
ABBFA_000005		
ABBFA_000006		
ABBFA_000007	nucleotide binding (GO:0000166); molecular_function (GO:0003674); binding (GO:0005488); ATP binding (GO:0005524); obsolete drug binding (GO:0008144); purine nucleotide binding (GO:0017076); adenyl nucleotide binding (GO:0030554); ribonucleotide binding (GO:0032553); purine ribonucleotide binding (GO:0032555); adenyl ribonucleotide binding (GO:0032559); purine ribonucleoside triphosphate binding (GO:0035639); small molecule binding (GO:0036094); ion binding (GO:0043167); anion binding (GO:0043168); obsolete organic cyclic compound binding (GO:0097159); carbohydrate derivative binding (GO:0097367); nucleoside phosphate binding (GO:1901265); heterocyclic compound binding (GO:1901363)	
ABBFA_000008		
ABBFA_000009		
ABBFA_000010		
